進貨日期,客戶,鍛品來源,貨單編號,-,材質,品名,幾分 ×,規格,× 幾角, 數量 ,件數, 加工,圖號,下一關,備註,出貨狀況,K,B,出貨數量,數量尚有, 次批數量 ,出貨總數量,數量差,原因,總重,桶重,單重,換算數量
114/02/11,維興,維興入,2219281,-1,50BV30,S,1/2 ×,1-1/16,× 6R,                     400 ,1K,S.車蛋窩孔V,102V000 車外徑,,,,,,,,,,,,,,,
114/02/13,筌振,庫存發出入,1140213,-2,50BV30,短套,3/4 ×,27,× 12R,"                 1,036 ",,反R無珠溝,,有旺,,? 準備出貨,1K,,,,,,,,,,,
114/02/13,筌振,庫存發出入,1140213,-3,50BV30,短套,3/4 ×,27,× 12R,                     290 ,,反R無珠溝色帶溝,,有旺,,?? 廠內等待加工,,,,,,,,,,,,
114/10/21,筌振,三仕入,1141021143,-1,50BV30,短套,3/4 ×,27,× 12R,                     970 ,9B,,,,,,,,,,,,,,,,,
113/10/18,筌振,三仕入,1131017132,-3,50BV30,短套,3/4 ×,32,× 12R,"                 1,197 ",,1131029,,,,?? 訂單轉移,,,,,,,,,,,,
113/10/29,筌振,庫存發出入,1131029,-1,50BV30,短套,3/4 ×,32,× 12R,"                 1,215 ",,1140213,,,,?? 訂單轉移,3K,,,,,,,,,,,
114/02/13,筌振,三仕入,1140210135,-2,50BV30,短套,3/4 ×,"1""",× 12R,                     260 ,,反R無珠溝車外徑色帶溝,,有旺,,? 出貨完畢,,,,,,,,,,,,
114/02/13,筌振,庫存發出入,1140213,-4,50BV30,短套,3/4 ×,32,× 12R,"                 1,197 ",,反R無珠溝,,得利,,? 出貨完畢,2K,,"            1,215 ",,,,,,,,,
114/02/13,?德,潮松入,2502130004,-1,50BV30,接頭,3/4 ×,1/2,,"                 5,100 ",3K,汽動,,,,? 出貨完畢,,,,,,,,,,,,
114/02/13,維興,維興入,2219145,-1,50BV30,L,1/2 ×,22,× 6R,"                 1,950 ",3K,L.DIN,147000C,,,,,,,,,,,,,,,
114/02/13,維興,維興入,2219145,-2,50BV30,S,1/2 ×,24,× 6R,                     345 ,1K,重修,,,,,,,,,,,,,,,,
114/02/13,偉順,三仕入,1140210131,-1,50BV30,短套,1/2 ×,20,× 12R,                     600 ,5B,直型中雙溝,114/03/10,杰霖,114007,? 出貨完畢,,,,,,,,,,,,
114/02/13,偉順,三仕入,1140210131,-2,50BV30,短套,1/2 ×,20,× 12R,"                 1,150 ",,直型小雙溝,,偉順,114007,,,,,,,,,,,,,
